"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"60036","2025-09-24 17:37:48 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17390","1000.00","Sell","","1.17416","","1.17372","","","","","","","","",""
"60037","2025-09-24 17:37:48 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17648","1000.00","Buy","","1.17622","","1.17666","","","","","","","","",""
"60038","2025-09-24 17:37:48 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17340","1000.00","Sell","","1.17366","","1.17322","","","","","","","","",""
"60039","2025-09-24 17:37:48 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17698","1000.00","Buy","","1.17672","","1.17716","","","","","","","","",""
"60040","2025-09-24 17:37:49 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17290","1000.00","Sell","","1.17316","","1.17272","","","","","","","","",""
"60041","2025-09-24 17:37:49 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17748","1000.00","Buy","","1.17722","","1.17766","","","","","","","","",""
"60042","2025-09-24 17:37:49 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17240","1000.00","Sell","","1.17266","","1.17222","","","","","","","","",""
"60043","2025-09-24 17:39:50 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60044","2025-09-24 17:39:50 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60045","2025-09-24 17:39:50 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60046","2025-09-24 17:39:50 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60047","2025-09-24 17:39:51 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60048","2025-09-24 17:39:51 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60049","2025-09-24 17:39:51 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60050","2025-09-24 17:39:51 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60051","2025-09-24 17:39:51 -12","ORDER_FILL","MARKET_IF_TOUCHED_ORDER","EUR/USD","1.17432","1000.00","Sell","0.0580","","","","","0.00000","0.0000","0.0000","","","0.00000","","98977.42"
"60052","2025-09-24 17:39:51 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.17422","","","","","","","","","","","","","","",""
"60053","2025-09-24 17:39:51 -12","STOP_LOSS_ORDER","ON_FILL","","1.17466","","","","","","","","","","","","","","",""
"60054","2025-09-24 17:39:52 -12","ORDER_CANCEL_REJECT","","","","","","","","","","","","","","","","","",""
"60055","2025-09-24 17:39:53 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17548","1000.00","Buy","","1.17522","","1.17566","","","","","","","","",""
"60056","2025-09-24 17:39:53 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17440","1000.00","Sell","","1.17466","","1.17422","","","","","","","","",""
"60057","2025-09-24 17:39:54 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17598","1000.00","Buy","","1.17572","","1.17616","","","","","","","","",""
"60058","2025-09-24 17:39:54 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17390","1000.00","Sell","","1.17416","","1.17372","","","","","","","","",""
"60059","2025-09-24 17:39:54 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17648","1000.00","Buy","","1.17622","","1.17666","","","","","","","","",""
"60060","2025-09-24 17:39:54 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17340","1000.00","Sell","","1.17366","","1.17322","","","","","","","","",""
"60061","2025-09-24 17:39:55 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17698","1000.00","Buy","","1.17672","","1.17716","","","","","","","","",""
"60062","2025-09-24 17:39:55 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17290","1000.00","Sell","","1.17316","","1.17272","","","","","","","","",""
"60063","2025-09-24 17:39:55 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17748","1000.00","Buy","","1.17722","","1.17766","","","","","","","","",""
"60064","2025-09-24 17:39:55 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17240","1000.00","Sell","","1.17266","","1.17222","","","","","","","","",""
"60065","2025-09-24 17:40:43 -12","ORDER_FILL","MARKET_IF_TOUCHED_ORDER","EUR/USD","1.17431","1000.00","Sell","0.0580","","","","","0.00000","0.0000","0.0000","","","0.00000","","98977.42"
"60066","2025-09-24 17:40:43 -12","TAKE_PROFIT_ORDER","ON_FILL","","1.17422","","","","","","","","","","","","","","",""
"60067","2025-09-24 17:40:43 -12","STOP_LOSS_ORDER","ON_FILL","","1.17466","","","","","","","","","","","","","","",""
"60068","2025-09-24 17:41:56 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60069","2025-09-24 17:41:56 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60070","2025-09-24 17:41:56 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60071","2025-09-24 17:41:57 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60072","2025-09-24 17:41:57 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60073","2025-09-24 17:41:57 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60074","2025-09-24 17:41:57 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60075","2025-09-24 17:41:58 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60076","2025-09-24 17:41:58 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60077","2025-09-24 17:41:58 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60078","2025-09-24 17:41:58 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60079","2025-09-24 17:41:59 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60080","2025-09-24 17:41:59 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60081","2025-09-24 17:41:59 -12","ORDER_CANCEL","CLIENT_REQUEST","","","","","","","","","","","","","","","","",""
"60082","2025-09-24 17:42:00 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17548","1000.00","Buy","","1.17520","","1.17567","","","","","","","","",""
"60083","2025-09-24 17:42:01 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17440","1000.00","Sell","","1.17468","","1.17421","","","","","","","","",""
"60084","2025-09-24 17:42:01 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17598","1000.00","Buy","","1.17570","","1.17617","","","","","","","","",""
"60085","2025-09-24 17:42:01 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17390","1000.00","Sell","","1.17418","","1.17371","","","","","","","","",""
"60086","2025-09-24 17:42:01 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17648","1000.00","Buy","","1.17620","","1.17667","","","","","","","","",""
"60087","2025-09-24 17:42:02 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17340","1000.00","Sell","","1.17368","","1.17321","","","","","","","","",""
"60088","2025-09-24 17:42:02 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17698","1000.00","Buy","","1.17670","","1.17717","","","","","","","","",""
"60089","2025-09-24 17:42:02 -12","MARKET_IF_TOUCHED_ORDER","CLIENT_ORDER","EUR/USD","1.17290","1000.00","Sell","","1.17318","","1.17271","","","","","","","","",""
