ID,Type,Instrument,Units,Price,Time,pl
18434,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:32.582978078Z,
18435,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:35.274543043Z,
18436,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:37.277333338Z,
18437,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:39.735617587Z,
18438,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:41.769848369Z,
18439,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:44.351593926Z,
18440,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:46.310825178Z,
18441,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:48.840109984Z,
18442,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:51.272334895Z,
18443,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:53.744002565Z,
18444,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:55.795391652Z,
18445,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:57.819282491Z,
18446,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:36:59.825164159Z,
18447,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:01.697632531Z,
18448,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:04.176626543Z,
18449,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:06.711910057Z,
18450,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:08.597096305Z,
18451,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:10.528462634Z,
18452,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:12.992438943Z,
18453,MARKET_IF_TOUCHED_ORDER,EUR_USD,-1000,1.17859,2025-09-24T06:37:14.935813614Z,
