"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"54789","2025-09-23 23:18:18 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17399","1000.00","","","1.17419","","1.17379","","","","","","","","",""
"54790","2025-09-23 23:18:18 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17419","1000.00","","","1.17439","","1.17399","","","","","","","","",""
"54791","2025-09-23 23:18:19 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17439","1000.00","","","1.17459","","1.17419","","","","","","","","",""
"54792","2025-09-23 23:18:19 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17459","1000.00","","","1.17479","","1.17439","","","","","","","","",""
"54793","2025-09-23 23:18:20 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17479","1000.00","","","1.17499","","1.17459","","","","","","","","",""
"54794","2025-09-23 23:18:20 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.17499","1000.00","","","1.17519","","1.17479","","","","","","","","",""
"54795","2025-09-23 23:18:22 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.07959","1000.00","","","1.07979","","1.07939","","","","","","","","",""
"54796","2025-09-23 23:18:23 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.07979","1000.00","","","1.07999","","1.07959","","","","","","","","",""
"54797","2025-09-23 23:18:23 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.07999","1000.00","","","1.08019","","1.07979","","","","","","","","",""
"54798","2025-09-23 23:18:23 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08019","1000.00","","","1.08039","","1.07999","","","","","","","","",""
"54799","2025-09-23 23:18:24 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08039","1000.00","","","1.08059","","1.08019","","","","","","","","",""
"54800","2025-09-23 23:18:24 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08059","1000.00","","","1.08079","","1.08039","","","","","","","","",""
"54801","2025-09-23 23:18:25 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08079","1000.00","","","1.08099","","1.08059","","","","","","","","",""
"54802","2025-09-23 23:18:25 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08099","1000.00","","","1.08119","","1.08079","","","","","","","","",""
"54803","2025-09-23 23:18:25 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08119","1000.00","","","1.08139","","1.08099","","","","","","","","",""
"54804","2025-09-23 23:18:26 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08139","1000.00","","","1.08159","","1.08119","","","","","","","","",""
"54805","2025-09-23 23:18:26 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08159","1000.00","","","1.08179","","1.08139","","","","","","","","",""
"54806","2025-09-23 23:18:27 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08179","1000.00","","","1.08199","","1.08159","","","","","","","","",""
"54807","2025-09-23 23:18:27 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08199","1000.00","","","1.08219","","1.08179","","","","","","","","",""
"54808","2025-09-23 23:18:28 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08219","1000.00","","","1.08239","","1.08199","","","","","","","","",""
"54809","2025-09-23 23:18:28 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08239","1000.00","","","1.08259","","1.08219","","","","","","","","",""
"54810","2025-09-23 23:18:28 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08259","1000.00","","","1.08279","","1.08239","","","","","","","","",""
"54811","2025-09-23 23:18:29 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08279","1000.00","","","1.08299","","1.08259","","","","","","","","",""
"54812","2025-09-23 23:18:29 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08299","1000.00","","","1.08319","","1.08279","","","","","","","","",""
"54813","2025-09-23 23:18:29 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08319","1000.00","","","1.08339","","1.08299","","","","","","","","",""
"54814","2025-09-23 23:18:30 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08339","1000.00","","","1.08359","","1.08319","","","","","","","","",""
"54815","2025-09-23 23:18:30 -12","MARKET_IF_TOUCHED_ORDER_REJECT","CLIENT_ORDER","EUR/USD","1.08359","1000.00","","","1.08379","","1.08339","","","","","","","","",""
